Seat,Labour_Prob,Conservative_Prob,Reform_Prob,Restore_Prob,LibDem_Prob,Green_Prob,Oth_Prob,SNP_Prob,Plaid_Prob,PredictedWinner,WinnerProb
Chesham and Amersham,0.0,0.4794,0.0098,0.0,0.5108,0.0,0.0,0.0,0.0,LibDem,0.5108
Chester North and Neston,0.699,0.0289,0.2703,0.0,0.0,0.0018,0.0,0.0,0.0,Labour,0.699
Chester South and Eddisbury,0.1218,0.7711,0.1071,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.7711
Chesterfield,0.3904,0.0005,0.609,0.0,0.0,0.0001,0.0,0.0,0.0,Reform,0.609
Chichester,0.0,0.1221,0.1378,0.0,0.7401,0.0,0.0,0.0,0.0,LibDem,0.7401
Chingford and Woodford Green,0.2686,0.6481,0.0038,0.0,0.0,0.0,0.0795,0.0,0.0,Conservative,0.6481
Chippenham,0.0,0.0912,0.2395,0.0,0.6693,0.0,0.0,0.0,0.0,LibDem,0.6693
Chipping Barnet,0.398,0.6011,0.0001,0.0,0.0,0.0008,0.0,0.0,0.0,Conservative,0.6011
Chorley,0.001,0.0,0.1588,0.0,0.0,0.0318,0.8084,0.0,0.0,Oth,0.8084
Christchurch,0.0031,0.2817,0.6984,0.0,0.0168,0.0,0.0,0.0,0.0,Reform,0.6984
Cities of London and Westminster,0.3649,0.6246,0.0,0.0,0.0,0.0105,0.0,0.0,0.0,Conservative,0.6246
City of Durham,0.5689,0.0071,0.2885,0.0,0.0017,0.1338,0.0,0.0,0.0,Labour,0.5689
Clacton,0.0014,0.0457,0.9529,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.9529
Clapham and Brixton Hill,0.9289,0.0007,0.0,0.0,0.0032,0.0672,0.0,0.0,0.0,Labour,0.9289
Clwyd East,0.1661,0.1759,0.4027,0.0,0.0,0.0,0.0,0.0,0.2553,Reform,0.4027
Clwyd North,0.1443,0.0122,0.63,0.0,0.0,0.0,0.0,0.0,0.2135,Reform,0.63
Coatbridge and Bellshill,0.4239,0.0,0.0196,0.0,0.0,0.0004,0.0,0.5561,0.0,SNP,0.5561
Colchester,0.6102,0.0855,0.3035,0.0,0.0008,0.0,0.0,0.0,0.0,Labour,0.6102
Colne Valley,0.4522,0.2198,0.3279,0.0,0.0,0.0001,0.0,0.0,0.0,Labour,0.4522
Congleton,0.3322,0.338,0.3298,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.338
Corby and East Northamptonshire,0.3633,0.093,0.5437,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.5437
Coventry East,0.912,0.0263,0.0601,0.0,0.0,0.0016,0.0,0.0,0.0,Labour,0.912
Coventry North West,0.8092,0.0664,0.1234,0.0,0.0,0.001,0.0,0.0,0.0,Labour,0.8092
Coventry South,0.7694,0.2091,0.004,0.0,0.0,0.0175,0.0,0.0,0.0,Labour,0.7694
Cowdenbeath and Kirkcaldy,0.2954,0.0,0.0222,0.0,0.0,0.0005,0.0,0.6819,0.0,SNP,0.6819
Cramlington and Killingworth,0.5271,0.0176,0.4553,0.0,0.0,0.0,0.0,0.0,0.0,Labour,0.5271
Crawley,0.4665,0.3842,0.1493,0.0,0.0,0.0,0.0,0.0,0.0,Labour,0.4665
Crewe and Nantwich,0.4215,0.012,0.5664,0.0,0.0,0.0001,0.0,0.0,0.0,Reform,0.5664
Croydon East,0.6419,0.3407,0.0084,0.0,0.0,0.009,0.0,0.0,0.0,Labour,0.6419
Croydon South,0.1659,0.8328,0.0012,0.0,0.0,0.0001,0.0,0.0,0.0,Conservative,0.8328
Croydon West,0.9348,0.0324,0.0,0.0,0.0004,0.0324,0.0,0.0,0.0,Labour,0.9348
Cumbernauld and Kirkintilloch,0.2253,0.0,0.0117,0.0,0.0,0.0013,0.0,0.7617,0.0,SNP,0.7617
Dagenham and Rainham,0.6448,0.029,0.315,0.0,0.0,0.0112,0.0,0.0,0.0,Labour,0.6448
Darlington,0.2494,0.0313,0.7193,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.7193
Dartford,0.288,0.381,0.3306,0.0,0.0,0.0004,0.0,0.0,0.0,Conservative,0.381
Daventry,0.0684,0.7408,0.1906,0.0,0.0002,0.0,0.0,0.0,0.0,Conservative,0.7408
Derby North,0.6695,0.0977,0.2324,0.0,0.0,0.0004,0.0,0.0,0.0,Labour,0.6695
Derby South,0.7225,0.0112,0.2624,0.0,0.0,0.0003,0.0036,0.0,0.0,Labour,0.7225
Derbyshire Dales,0.1725,0.5733,0.2542,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.5733
Dewsbury and Batley,0.1119,0.0012,0.0177,0.0,0.0,0.0014,0.8678,0.0,0.0,Oth,0.8678
Didcot and Wantage,0.0007,0.252,0.1525,0.0,0.5948,0.0,0.0,0.0,0.0,LibDem,0.5948
Doncaster Central,0.5034,0.0039,0.4927,0.0,0.0,0.0,0.0,0.0,0.0,Labour,0.5034
Doncaster East and the Isle of Axholme,0.1854,0.1925,0.6221,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.6221
Doncaster North,0.3931,0.0001,0.6067,0.0,0.0,0.0001,0.0,0.0,0.0,Reform,0.6067
Dorking and Horley,0.0,0.363,0.0901,0.0,0.5469,0.0,0.0,0.0,0.0,LibDem,0.5469
Dover and Deal,0.3764,0.0476,0.576,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.576
Droitwich and Evesham,0.0134,0.4815,0.5049,0.0,0.0,0.0002,0.0,0.0,0.0,Reform,0.5049
Dudley,0.2025,0.1573,0.6402,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.6402
Dulwich and West Norwood,0.8849,0.0005,0.0,0.0,0.0,0.1146,0.0,0.0,0.0,Labour,0.8849
Dumfries and Galloway,0.0203,0.1231,0.1229,0.0,0.0,0.0,0.0,0.7337,0.0,SNP,0.7337
"Dumfriesshire, Clydesdale and Tweeddale",0.0078,0.3953,0.0996,0.0,0.0,0.0,0.0,0.4973,0.0,SNP,0.4973
Dundee Central,0.1796,0.0,0.0043,0.0,0.0,0.0068,0.0,0.8093,0.0,SNP,0.8093
Dunfermline and Dollar,0.3838,0.0,0.0099,0.0,0.0,0.0019,0.0,0.6044,0.0,SNP,0.6044
Dunstable and Leighton Buzzard,0.2027,0.3354,0.4613,0.0,0.0006,0.0,0.0,0.0,0.0,Reform,0.4613
Dwyfor Meirionnydd,0.0001,0.0,0.0206,0.0,0.0,0.0,0.0,0.0,0.9793,Plaid,0.9793
Ealing Central and Acton,0.9071,0.0548,0.0,0.0,0.0014,0.0367,0.0,0.0,0.0,Labour,0.9071
Ealing North,0.9286,0.0595,0.0002,0.0,0.0,0.0116,0.0001,0.0,0.0,Labour,0.9286
Ealing Southall,0.9285,0.0206,0.0,0.0,0.0,0.0477,0.0032,0.0,0.0,Labour,0.9285
Earley and Woodley,0.5303,0.4541,0.0069,0.0,0.0007,0.008,0.0,0.0,0.0,Labour,0.5303
Easington,0.3598,0.0021,0.638,0.0,0.0,0.0001,0.0,0.0,0.0,Reform,0.638
East Grinstead and Uckfield,0.0659,0.521,0.3272,0.0,0.0721,0.0138,0.0,0.0,0.0,Conservative,0.521
East Ham,0.9628,0.0008,0.0,0.0,0.0,0.0224,0.014,0.0,0.0,Labour,0.9628
East Hampshire,0.0,0.3869,0.3009,0.0,0.3122,0.0,0.0,0.0,0.0,Conservative,0.3869
East Kilbride and Strathaven,0.3355,0.0001,0.0096,0.0,0.0,0.0007,0.0,0.6541,0.0,SNP,0.6541
East Renfrewshire,0.2857,0.0126,0.0005,0.0,0.0,0.0008,0.0,0.7004,0.0,SNP,0.7004
East Surrey,0.0186,0.7693,0.2041,0.0,0.0079,0.0001,0.0,0.0,0.0,Conservative,0.7693
East Thanet,0.3648,0.008,0.625,0.0,0.0,0.0022,0.0,0.0,0.0,Reform,0.625
East Wiltshire,0.0647,0.6826,0.2468,0.0,0.0059,0.0,0.0,0.0,0.0,Conservative,0.6826
East Worthing and Shoreham,0.5281,0.0374,0.4344,0.0,0.0,0.0001,0.0,0.0,0.0,Labour,0.5281
Eastbourne,0.0,0.0274,0.2144,0.0,0.7582,0.0,0.0,0.0,0.0,LibDem,0.7582
Eastleigh,0.0013,0.0955,0.5585,0.0,0.3447,0.0,0.0,0.0,0.0,Reform,0.5585
Edinburgh East and Musselburgh,0.291,0.0,0.0,0.0,0.0,0.252,0.0,0.457,0.0,SNP,0.457
Edinburgh North and Leith,0.4478,0.0,0.0,0.0,0.0,0.0746,0.0,0.4776,0.0,SNP,0.4776
Edinburgh South,0.7837,0.0,0.0,0.0,0.0,0.0952,0.0,0.1211,0.0,Labour,0.7837
Edinburgh South West,0.4757,0.0001,0.0,0.0,0.0,0.1622,0.0,0.362,0.0,Labour,0.4757
