Seat,Labour,Conservative,Reform,LibDem,Green,Oth,SNP,Plaid,Restore
Lewisham East,44.51359065461068,13.393160713790477,9.850046642723598,7.117047569367454,21.1727410403456,2.295,0.0,0.0,1.6584133791621873
Lewisham North,44.75611788697023,6.9588138051614115,6.473396323895378,8.405690001199076,30.250627960825298,1.9549999999999998,0.0,0.0,1.1003540219486063
Lewisham West and East Dulwich,43.16211967243483,10.192735082194204,9.450442649011988,8.517158229671507,26.051981685351983,1.36,0.0,0.0,1.265562681335492
Leyton and Wanstead,38.334651063290835,13.19336616391287,8.008425284549588,6.77352735003766,20.760136254587533,11.73,0.0,0.0,1.1998938836215154
Lichfield,24.21108355617374,30.29416517596561,28.218344421081927,5.87835510480201,6.331469328439165,0.744636175,0.0,0.0,4.321946238537558
Lincoln,30.24744142435203,18.182182376965265,29.128756880940003,5.142705530411775,10.904318095973837,2.164092325,0.0,0.0,4.23050336635709
Liverpool Garston,37.62988295003996,9.482158147418179,28.708664956431807,7.300230277641847,11.079331908468204,3.1563669699999997,0.0,0.0,2.64336479
Liverpool Riverside,39.890186324195994,2.973912146886165,16.788886449239747,4.78371392695166,30.34767960272645,2.975,0.0,0.0,2.24062155
Liverpool Walton,41.93492888092706,4.602824240915254,33.96691241153916,2.905931496329092,12.130555120289435,1.02,0.0,0.0,3.43884785
Liverpool Wavertree,38.68197177986965,5.985183913571763,17.369669820787447,6.686730441350061,25.220259074421083,3.995,0.0,0.0,2.0611849700000002
Liverpool West Derby,41.787832770592985,4.376285184776245,32.501736144180754,3.4895505694231668,12.15429211102685,2.77590617,0.0,0.0,2.9143970500000007
Loughborough,27.381644760092165,28.864916432799273,20.52170220300583,5.1656731838758505,14.57594444691303,0.0,0.0,0.0,3.490118973313852
Louth and Horncastle,16.811290252161598,30.665242469469476,33.214525437084205,4.18078495168607,7.216490898605578,2.309927859357893,0.0,0.0,5.6017381316351855
Lowestoft,24.343442974820235,18.133225290093236,39.430878081398525,3.05493667049397,9.19281001148191,0.0,0.0,0.0,5.844706971712137
Luton North,33.66046736506792,19.13950654357478,13.399247441635852,4.694996139750434,8.69877122640336,18.445,0.0,0.0,1.9620112835676509
Luton South and South Bedfordshire,31.493778534069016,18.522934700156988,12.959902126909599,5.842192454635939,10.297677762357996,18.785,0.0,0.0,2.098514421870457
Macclesfield,32.05805467094301,24.752825783187234,26.758038627046627,4.3389455950507525,7.346631335657912,1.55552333,0.0,0.0,3.18998065811448
Maidenhead,9.811791625975575,27.659602141986056,16.720499263856375,32.86505047284706,8.758744577544938,2.975,0.0,0.0,1.2093119177900098
Maidstone and Malling,20.112619913419408,24.595350193837426,28.78047179883211,11.007631413809635,10.872894241428911,0.68,0.0,0.0,3.951032438672513
Makerfield,29.997798096864894,12.703352631785839,36.30080820273616,5.517921343636303,8.576261448023265,0.7616840349999999,0.0,0.0,6.142174241953538
Maldon,14.31576990842867,34.696780510043695,30.92458352057874,9.257739334297277,6.33521800289183,0.0,0.0,0.0,4.469908723759793
Manchester Central,39.44717467797192,7.684085789026771,11.831332086909985,7.3907202072933575,25.816420232138128,5.3549999999999995,0.0,0.0,2.475267006659842
Manchester Rusholme,40.942447484564326,4.153090088245554,4.996544756981725,1.010041102558784,35.60751141287688,12.24,0.0,0.0,1.0503651547727222
Manchester Withington,39.897407195820755,8.499093251204005,9.766418749381758,11.56234549342038,25.179729440173094,3.9099999999999997,0.0,0.0,1.1850058700000001
Mansfield,27.750190503632243,19.93465038634632,37.840232282869806,1.7971438408835334,5.117431522650601,1.9741171799999997,0.0,0.0,5.586234283617501
Melksham and Devizes,7.129815926128165,25.45533327864429,26.94459436553251,29.020225233428416,7.832795245304075,0.0,0.0,0.0,3.6172359509625505
Melton and Syston,19.20137317288284,33.14191776506453,26.979637588726206,4.576686525198774,10.0828758636174,1.612713450936768,0.0,0.0,4.404795633573491
Meriden and Solihull East,20.009635200046198,36.13506829229408,24.467327294363912,6.2940323804832685,9.112097141449807,0.0,0.0,0.0,3.981839691362737
Mid Bedfordshire,21.92925627803229,37.365567002708005,19.377143239273735,7.176134955513441,7.665102152013964,3.117441955,0.0,0.0,3.3693544174585583
Mid Buckinghamshire,12.68010342816228,39.059963175095234,15.938833244260852,20.58825191436632,8.244755743098956,0.765,0.0,0.0,2.723092495016353
