Seat,Tribe,Labour,Conservative,Reform,LibDem,Green,Oth,SNP,Plaid
"Dumfriesshire, Clydesdale and Tweeddale",Muslim,0.0,0.0,0.0,0.0,0.0,0.0,0.2361046,0
"Dumfriesshire, Clydesdale and Tweeddale",Left,0.0,0.0,0.0,0.0,0.0,0.0,7.252999075083859,0
"Dumfriesshire, Clydesdale and Tweeddale",Progressives,5.191491078702533,0.0,0.0,0.0,0.0,0.0,0.0,0
"Dumfriesshire, Clydesdale and Tweeddale",Average,17.808508921297467,0.0,0.0,0.0,1.9526248511639892,0.0,16.910896324916138,0
"Dumfriesshire, Clydesdale and Tweeddale",Liberal,0.0,12.89019655777599,0.0,6.3,1.14737514883603,0.5,0.0,0
"Dumfriesshire, Clydesdale and Tweeddale",Blues,0.0,0.1118,0.0,0.0,0.0,0.0,0.0,0
"Dumfriesshire, Clydesdale and Tweeddale",Reforms,0.0,20.998003442224007,8.7,0.0,0.0,0.0,0.0,0
Dundee Central,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,5.1271639,0
Dundee Central,Left,0.0,0.0,0.0,0.0,0.0,0.0,17.237201540729842,0
Dundee Central,Progressives,12.034396232681992,0.0,0.0,0.0,0.0,0.0,0.0,0
Dundee Central,Average,26.265603767318005,0.0,0.0,0.0,0.0,0.0,5.605008570391725,0
Dundee Central,Liberal,0.0,0.0,0.0,6.2,0.0,4.6517220612567085,0.0,0
Dundee Central,Blues,0.0,1.0350243,0.0,0.0,0.0,0.0,0.0,0
Dundee Central,Reforms,0.0,2.9649757,6.1,0.0,0.0,0.7482779387432918,12.030625988878434,0
Dunfermline and Dollar,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,1.2295682,0
Dunfermline and Dollar,Left,0.0,0.0,0.0,0.0,0.0,0.0,8.406040268456367,0
Dunfermline and Dollar,Progressives,5.720617277785215,0.0,0.0,0.0,0.0,0.0,0.0,0
Dunfermline and Dollar,Average,33.322187167029114,0.0,0.0,0.0,0.0,0.0,0.0,0
Dunfermline and Dollar,Liberal,6.657195555185673,0.0,0.0,7.1,4.7,1.5,5.808000929030459,0
Dunfermline and Dollar,Blues,0.0,0.4300832,0.0,0.0,0.0,0.0,0.0,0
Dunfermline and Dollar,Reforms,0.0,6.9699168,6.5,0.0,0.0,0.0,11.656390602513174,0
East Kilbride and Strathaven,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,1.0555411,0
East Kilbride and Strathaven,Left,0.0,0.0,0.0,0.0,0.0,0.0,8.922366692450302,0
East Kilbride and Strathaven,Progressives,5.299384255831881,0.0,0.0,0.0,0.0,0.0,0.0,0
East Kilbride and Strathaven,Average,36.48599100529219,0.0,0.0,0.0,0.0,0.0,0.0,0
East Kilbride and Strathaven,Liberal,6.814624738875928,0.0,0.0,2.3,3.9,1.3,8.814088261866795,0
East Kilbride and Strathaven,Blues,0.0,0.3441982,0.0,0.0,0.0,0.0,0.0,0
East Kilbride and Strathaven,Reforms,0.0,7.2558017999999995,7.2,0.0,0.0,0.0,10.308003945682891,0
East Renfrewshire,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,5.4641422,0
East Renfrewshire,Left,0.0,0.0,0.0,0.0,0.0,0.0,9.05837040111008,0
East Renfrewshire,Progressives,4.821733236226264,0.0,0.0,0.0,0.0,0.0,0.0,0
East Renfrewshire,Average,30.03202367454321,0.0,0.0,0.0,0.0,0.0,0.0,0
East Renfrewshire,Liberal,8.746243089230525,3.3764143472098525,0.0,2.3,3.0,2.7,12.277487398889924,0
East Renfrewshire,Blues,0.0,2.8549885,0.0,0.0,0.0,0.0,0.0,0
East Renfrewshire,Reforms,0.0,10.668597152790145,4.7,0.0,0.0,0.0,0.0,0
Edinburgh East and Musselburgh,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,3.7795068,0
Edinburgh East and Musselburgh,Left,0.0,0.0,0.0,0.0,0.0,0.0,18.83866615265996,0
Edinburgh East and Musselburgh,Progressives,14.077362172240644,0.0,0.0,0.0,0.0,0.0,0.0,0
Edinburgh East and Musselburgh,Average,27.12263782775936,0.0,0.0,0.0,0.0,0.0,5.09443516957818,0
Edinburgh East and Musselburgh,Liberal,0.0,0.0,0.0,4.3,9.505623063043583,0.8,0.0,0
Edinburgh East and Musselburgh,Blues,0.0,2.3292892,0.0,0.0,0.0,0.0,0.0,0
Edinburgh East and Musselburgh,Reforms,0.0,3.3707108000000003,4.7,0.0,0.6943769369564166,0.0,5.387391877761861,0
Edinburgh North and Leith,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,3.3076245,0
Edinburgh North and Leith,Left,0.0,0.0,0.0,0.0,0.0,0.0,11.239567365014471,0
Edinburgh North and Leith,Progressives,20.3927616830929,0.0,0.0,0.0,0.0,0.0,0.0,0
Edinburgh North and Leith,Average,21.7072383169071,0.0,0.0,0.0,0.0,0.0,3.0081409238409194,0
Edinburgh North and Leith,Liberal,0.0,0.0,0.0,7.8,10.9,1.5,4.765577695709171,0
Edinburgh North and Leith,Blues,0.0,2.676069,0.0,0.0,0.0,0.0,0.0,0
Edinburgh North and Leith,Reforms,0.0,3.9239309999999996,3.7,0.0,0.0,0.0,5.079089515435431,0
Edinburgh South,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,3.5373155000000005,0
Edinburgh South,Left,0.0,0.0,0.0,0.0,4.269901891464849,0.0,12.9626845,0
Edinburgh South,Progressives,12.721968224060776,0.0,0.0,0.0,0.0,0.0,0.0,0
Edinburgh South,Average,29.673434720740588,0.0,0.0,0.0,0.0,0.0,0.0,0
Edinburgh South,Liberal,10.904597055198636,0.0,0.0,5.9,4.07891302171821,2.7,0.0,0
Edinburgh South,Blues,0.0,2.3296221,0.0,0.0,0.0,0.0,0.0,0
Edinburgh South,Reforms,0.0,6.1703779,3.9,0.0,0.7511850868169399,0.0,0.0,0
Edinburgh South West,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,3.7914249,0
Edinburgh South West,Left,0.0,0.0,0.0,0.0,0.0,0.0,16.85547023492733,0
Edinburgh South West,Progressives,15.715208149714716,0.0,0.0,0.0,0.0,0.0,0.0,0
Edinburgh South West,Average,22.190447314198792,0.0,0.0,0.0,0.0,0.0,0.0,0
Edinburgh South West,Liberal,2.9943445360864906,0.0,0.0,6.6,7.6,1.0,5.3324579636674,0
Edinburgh South West,Blues,0.0,3.7571452,0.0,0.0,0.0,0.0,0.0,0
Edinburgh South West,Reforms,0.0,8.4428548,4.6,0.0,0.0,0.0,1.120646901405273,0
Edinburgh West,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,2.688685,0
Edinburgh West,Left,0.0,0.0,0.0,0.0,0.0,0.0,8.331103272108,0
Edinburgh West,Progressives,8.61754343267078,0.0,0.0,0.0,0.0,0.0,0.0,0
Edinburgh West,Average,6.3824565673292195,0.0,0.0,25.471986227255876,0.0,0.0,4.906872913036516,0
Edinburgh West,Liberal,0.0,0.0,0.0,25.32801377274412,0.0,0.0,0.0,0
Edinburgh West,Blues,0.0,3.1811944,0.0,0.0,0.0,0.0,0.0,0
Edinburgh West,Reforms,0.0,2.3188056,4.2,0.0,4.0,1.1,3.4733388148554827,0
Falkirk,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,1.5015046,0
Falkirk,Left,0.0,0.0,0.0,0.0,0.0,0.0,9.01151401018692,0
Falkirk,Progressives,4.407980581654732,0.0,0.0,0.0,0.0,0.0,0.0,0
Falkirk,Average,37.30637769269087,0.0,0.0,0.0,0.0,0.0,0.0,0
Falkirk,Liberal,1.2856417256543935,0.0,0.0,2.6,4.0,2.8,8.188726065003834,0
Falkirk,Blues,0.0,0.1882209999999999,0.0,0.0,0.0,0.0,0.0,0
