Seat,County,Region, ,Muslim,Left,Progressives,Average,Liberal,Blues,Reforms,Labour,Conservative,Reform,LibDem,Green,Oth,SNP,Plaid
Blackley and Middleton South,Greater Manchester,North West,0,16.3151051,11.921373464139439,23.58795291035441,20.101003900995607,7.981303188408619,1.9724973,18.12076413610193,53.8,9.8,21.1,5.1,10.2,0.0,0,0
Blackpool North and Fleetwood,Lancashire,North West,0,0.5041734,7.730676418638193,6.673459646375791,41.50342450716809,14.502650424573186,0.23262689999999997,28.852988703244737,40.0,28.9,23.7,3.2,3.0,1.1,0,0
Blackpool South,Lancashire,North West,0,1.6558682000000002,9.433178378135585,9.271114568236555,40.320457315977336,8.331746430646238,0.6040447,30.38359040700428,48.1,15.6,28.6,3.0,3.4,1.3,0,0
Blaydon and Consett,County Durham; Tyne and Wear,North East,0,0.4315761,8.132637089455057,6.176323973808297,29.0563380390397,21.391200562524865,5.395919000000001,29.416005235172072,50.1,14.3,23.7,5.4,6.1,0.3,0,0
Blyth and Ashington,Northumberland,North East,0,0.6667586,8.797851701130929,6.329154839391547,34.3484757017945,13.799532450744172,3.3263000000000007,32.73192670693886,49.6,15.2,26.9,3.5,4.9,0.0,0,0
Bognor Regis and Littlehampton,West Sussex,South East,0,0.7818046000000001,7.649714247592783,7.830685105259473,37.76390128233513,18.91504480447685,0.45510560000000005,26.60374436033576,29.1,32.8,21.5,10.6,4.6,1.5,0,0
Bolsover,Derbyshire,East Midlands,0,0.2945199,7.794808958846332,5.652181303445897,22.292389301899476,18.456775606864234,10.448641300000002,35.060683628944055,40.5,25.6,21.5,3.5,8.8,0.0,0,0
Bolton North East,Greater Manchester,North West,0,17.039449400000002,10.50607242831007,10.755563322534098,22.19180644387822,16.738829889796698,1.2757399,21.49253861548091,37.3,21.9,21.7,3.5,10.8,4.8,0,0
Bolton South and Walkden,Greater Manchester,North West,0,25.0590921,12.13537435778413,13.42034051963632,16.42946110055246,10.998829822772754,2.1070781,19.84982399925434,40.9,11.3,22.6,3.7,7.7,13.8,0,0
Bolton West,Greater Manchester,North West,0,9.762898100000001,8.756681152904726,8.341123798274342,23.90810307263999,25.99727321257035,2.6066553,20.62726536361058,38.9,27.8,19.1,4.4,9.3,0.5,0,0
Bootle,Merseyside,North West,0,0.8591269,9.065318059956107,7.77464390819908,40.05813517285425,12.067677610842637,0.5730796,29.602018748147934,68.7,4.3,12.2,3.3,10.0,1.4,0,0
Boston and Skegness,Lincolnshire,East Midlands,0,0.9871762,7.632011462767077,6.530840117456058,31.031786442232658,12.232519986035152,8.332415800000001,33.25324999150906,18.9,33.4,38.4,3.4,3.7,2.3,0,0
Bournemouth East,Dorset,South West,0,2.5958967,10.63073158460445,15.116393328835573,35.68063543847052,15.551328277450033,2.0307935,18.394221170639437,40.8,28.6,14.0,6.9,6.2,3.6,0,0
Bournemouth West,Dorset,South West,0,2.2412072000000003,19.52852933297613,12.947998964369578,28.294422861101452,15.80196277935477,1.9036691000000001,19.282209762198065,36.4,28.3,16.9,10.9,6.6,0.9,0,0
Bracknell,Berkshire,South East,0,1.8098036000000002,8.95895038308078,11.93332754449809,28.906701520803153,27.011275227176622,3.7128066000000004,17.667135124441362,33.7,31.9,17.0,10.9,4.9,1.5,0,0
Bradford East,West Yorkshire,Yorkshire and the Humber,0,44.2476091,14.191677146709262,11.624617174138397,6.049356518565816,10.287460007930665,0.6958683999999999,12.903411652655857,37.9,9.3,13.3,5.1,6.9,27.5,0,0
Bradford South,West Yorkshire,Yorkshire and the Humber,0,20.076513300000002,11.13194310044514,10.3216162142542,20.347896556299375,14.360970745313761,1.6539926,22.10706748368753,35.8,14.7,22.5,2.9,10.2,13.9,0,0
Bradford West,West Yorkshire,Yorkshire and the Humber,0,58.7375881,15.60458496471836,11.126217873249905,0.0,6.048049184654779,1.6463632999999998,6.837196577376958,31.6,8.2,8.0,2.0,10.0,40.2,0,0
Braintree,Essex,Eastern,0,0.6885359,8.286406646665128,7.452758188191894,27.72764148114868,24.55426009062729,6.965451000000001,24.324946693367,28.0,35.5,23.1,5.9,5.9,1.6,0,0
