embedding,algorithm,k,distortion,silhouette,davies_bouldin,calinski_harabasz,n_noise,eps_percentile,degenerate
PCA,GMM,20,5142.059154631244,0.12041008146046611,1.4977767340584134,90.8173489144692,0,,
PCA,DBSCAN,1,,,,,89,80.0,True
PCA,DBSCAN,2,10092.354022507232,0.5035682842876951,0.6191154349383982,61.78986698183634,53,85.0,False
PCA,DBSCAN,1,,,,,37,90.0,True
PCA,DBSCAN,1,,,,,14,95.0,True
UMAP,KMeans,2,2082.170654296875,0.4714568853378296,0.8639624255551904,759.140619396122,0,,
UMAP,HAC,2,2109.1714477539062,0.4636399447917938,0.8720824278857559,741.3573550070655,0,,
UMAP,GMM,2,2088.67431640625,0.47002583742141724,0.8672033290633174,754.8151443498007,0,,
UMAP,KMeans,3,1460.0542907714844,0.4444759786128998,0.854525786257287,674.4483722825813,0,,
UMAP,HAC,3,1555.1790771484375,0.424768328666687,0.8970128792028405,613.9579042681964,0,,
UMAP,GMM,3,1514.6077575683594,0.4419325888156891,0.8377555535684301,638.8282246144367,0,,
UMAP,KMeans,4,1168.862060546875,0.3829341232776642,1.0221836397452437,612.903821648493,0,,
UMAP,HAC,4,1215.1714477539062,0.3732064664363861,1.0053127495549963,581.5689024076354,0,,
UMAP,GMM,4,1193.6831665039062,0.39265474677085876,1.1255878719428052,595.8064369550892,0,,
UMAP,KMeans,5,919.3505964279175,0.4244416654109955,0.8335778881488831,626.0455708272558,0,,
UMAP,HAC,5,942.5009717941284,0.41646987199783325,0.837794544027459,606.8179891214353,0,,
UMAP,GMM,5,948.1310987472534,0.42749375104904175,0.904666574602523,602.2838306858735,0,,
UMAP,KMeans,6,686.2790746688843,0.45815393328666687,0.759235616117421,712.3785646789487,0,,
UMAP,HAC,6,714.0504331588745,0.44974392652511597,0.7833979457269389,679.8028294171448,0,,
UMAP,GMM,6,695.4770917892456,0.4554647207260132,0.7440860970670508,701.30119713629,0,,
UMAP,KMeans,7,548.2248754501343,0.4934481978416443,0.6932557901377697,768.1858202679048,0,,
UMAP,HAC,7,572.7225179672241,0.48709481954574585,0.6996806239687473,730.8717839035838,0,,
UMAP,GMM,7,557.7614660263062,0.4907267093658447,0.689051458443019,753.2703715169089,0,,
UMAP,KMeans,8,474.3237180709839,0.49774137139320374,0.7075757027527138,773.70396486411,0,,
UMAP,HAC,8,498.5513906478882,0.4723655581474304,0.6818848439752191,731.7729004228189,0,,
UMAP,GMM,8,487.35235691070557,0.48924458026885986,0.7146312287097932,750.6369913297866,0,,
UMAP,KMeans,9,407.18731594085693,0.45786386728286743,0.8194612774510477,800.1882465114936,0,,
UMAP,HAC,9,434.65882778167725,0.43888965249061584,0.8125685032642008,744.6924736281497,0,,
UMAP,GMM,9,418.47854709625244,0.449015349149704,0.8351056322515475,776.4966677559452,0,,
UMAP,KMeans,10,364.9080629348755,0.4585510790348053,0.8080100318928984,800.4225195002176,0,,
UMAP,HAC,10,393.5781078338623,0.4348107874393463,0.8418438326298758,737.0816909866769,0,,
UMAP,GMM,10,372.70576572418213,0.460455983877182,0.7921309401850933,782.2302647153956,0,,
UMAP,KMeans,11,330.9215488433838,0.4602288007736206,0.7772469949995519,799.4659522685267,0,,
UMAP,HAC,11,363.75358486175537,0.44017836451530457,0.8235923750409089,721.7018762561206,0,,
UMAP,GMM,11,346.12606859207153,0.4528563320636749,0.7922521054211701,761.619365492044,0,,
