Seat,Nation,County,Region,DominantHandTribe,Archetype_1,Archetype_2,Archetype_3,Archetype_4,Archetype_5,Hand_Muslim,Hand_Left,Hand_Progressives,Hand_Average,Hand_Liberal,Hand_Blues,Hand_Reforms
Brentwood and Ongar,england,Essex,Eastern,Liberal,2.2704353371358432,29.825522662753436,12.560388751447979,48.56208514790793,6.781568100754807,1.4665865,7.724431139230941,10.27088190304866,20.653011272419405,32.09227306216474,11.8718623,15.920953823136236
Bridgwater,england,Somerset,South West,Reforms,0.0,60.169780457244535,2.4244914919964207,29.75579177395827,7.649936276800778,0.5634853000000001,8.096240383219625,6.6452697819686914,31.81304904068384,16.649352441146295,4.376411,31.85619205298156
Bridlington and The Wolds,england,East Riding of Yorkshire,Yorkshire and the Humber,Reforms,0.0,55.417459456958596,0.0,38.36001995263282,6.222520590408592,0.4773114999999999,6.375548045878811,6.852028186147108,28.148354762725475,17.649064982497904,9.7896,30.708092522750704
Brigg and Immingham,england,Lincolnshire,Yorkshire and the Humber,Reforms,0.0,53.38186263711954,0.0,39.81480120654309,6.8033361563373695,0.713626,7.089468619412321,5.284266770192909,23.82035005871801,23.39513752901866,8.8109911,30.886159922658106
Brighton Kemptown and Peacehaven,england,East Sussex,South East,Average,1.679142681933818,27.911251559485844,4.979136960937416,29.73133040781327,35.699138389829656,2.8770039,16.48357031757106,13.8254325923032,32.789439528699745,14.009142416079886,2.2487287,17.766682545346104
Brighton Pavilion,england,East Sussex,South East,Left,1.1464094740437898,0.0,5.401341322230151,40.19169214382009,53.26055705990598,2.550015,22.595524109131908,19.36170741678917,22.17474867118294,20.13650564139342,2.3939176,10.78758156150256
Bristol Central,england,Somerset,South West,Left,0.5200599364559324,0.0,5.559055127303083,28.740760861122773,65.18012407511823,6.0697962,34.76810885321703,30.351501538926183,4.024033935433863,15.774044701469789,2.6274401,6.38507467095313
Bristol East,england,Somerset,South West,Progressives,6.937597305351533,28.71479022823939,9.665758780152863,26.828895711398076,27.85295797485813,10.9914772,12.57965619183178,21.18402558305138,16.437445158114244,19.849089576575818,0.723255,18.23505129042677
Bristol North East,england,Bristol; Gloucestershire,South West,Average,7.662641551796864,34.43194729201976,6.2600939122053845,28.307105523936542,23.338211720041436,8.3197472,13.27455302473664,15.886504069322031,23.529377567105897,18.287203853349155,0.7240289999999999,19.97858528548627
Bristol North West,england,Bristol,South West,Average,4.34157159335024,26.385641346006633,6.871587129697682,34.98951238085809,27.411687550087354,3.6475361,15.638759078880602,13.328658279503108,27.50501645676286,20.48423563414285,2.1392254,17.256569050710578
Bristol South,england,Bristol,South West,Average,2.166724259886506,40.97930687745316,5.012314805178045,28.093728629627527,23.747925427854774,2.5611713000000003,11.25898604520036,11.733924197075025,28.359503193380903,21.238866354573982,0.6186775999999999,24.228871309769715
Broadland and Fakenham,england,Norfolk,Eastern,Reforms,0.0,44.00620450102542,0.0,47.88936006329273,8.104435435681848,0.2582401,6.88932136355075,5.7839162281687,18.55698055242304,25.04605223242986,18.1861001,25.27938942342765
Bromley and Biggin Hill,england,London (Bromley),London,Liberal,5.087040789387077,13.135735144640536,19.521670278030964,48.1753937890857,14.080159998855718,2.9757573,7.904658609647755,16.397993912319716,26.208087755673105,30.474725053651444,4.9798575,11.05891986870798
Bromsgrove,england,Worcestershire,West Midlands,Liberal,2.031897227829055,31.817577747386117,3.9077035860794793,51.600723328090346,10.642098110614992,0.8660758,7.539112783443902,7.183725771034887,27.5118972801109,32.38414242227895,4.830319,19.684726943131352
