Seat,County,Region,KMeans_label,GMM_label,Agglomerative_label,DBSCAN_outlier,Segment_1,Segment_2,Segment_3,Segment_4,Segment_5,Segment_6,Segment_7,Segment_8,Segment_9,Segment_10,Segment_11,Segment_12
Birmingham Erdington,West Midlands,West Midlands,10,10,8,False,0.00820013874606737,0.016859966944806102,0.0002256227512427331,0.0005005745552337966,0.0006867608470527629,1.2266005845285486e-21,2.1721108856452153e-10,3.868219507667326e-09,6.316887797555873,93.65663913451434,8.361384205357169e-27,0.0
Birmingham Hall Green and Moseley,West Midlands,West Midlands,5,2,6,False,2.9659639064519677e-22,99.9422639120105,9.510694632527243e-26,5.971279553676238e-101,0.057736087989324794,9.823130320510763e-121,7.968930484619988e-38,3.0702391020215574e-69,1.4865311207605687e-19,1.193730783135898e-35,7.313863184979329e-118,0.0
Birmingham Hodge Hill and Solihull North,West Midlands,West Midlands,5,2,6,False,4.125202543928273e-13,99.99952509399434,1.8865829231155005e-20,5.011109665485466e-55,0.00047490600505044773,3.020751883675743e-69,1.5497995086646204e-31,5.861883656142242e-42,3.642882647869667e-14,1.1160774456096064e-18,7.610783537847985e-82,0.0
Birmingham Ladywood,West Midlands,West Midlands,5,2,6,True,2.9963170062601163e-10,99.19162513397805,3.2431659966315865e-18,3.504722715537413e-85,0.8083748657225255,1.3774382648735376e-137,5.170151241378932e-40,1.6484007430709126e-59,2.8576270676059436e-15,9.59467556904156e-21,4.6678340252880075e-129,0.0
Birmingham Northfield,West Midlands,West Midlands,10,10,8,False,0.00031856870179094185,0.00040269850722113396,0.00425759395297115,0.30949345138342715,7.18599522998511e-05,7.410054147524294e-13,1.794671887738373e-07,3.713782563868265e-05,0.37150027487973514,99.3139182353289,2.399850895252334e-19,0.0
Birmingham Perry Barr,West Midlands,West Midlands,5,2,6,False,8.480882760452649e-07,99.87431068344532,2.0855328964381008e-10,4.456887553405652e-59,0.12568846825541385,3.380735993609407e-94,1.3403587311353348e-21,2.8297869349331516e-43,2.7495286562511783e-12,2.3838775014220848e-14,7.893988459799832e-102,0.0
Birmingham Selly Oak,West Midlands,West Midlands,3,3,7,False,3.036890988593557e-06,0.012788804589662051,99.67282450462146,5.4797356681410004e-11,7.543582310576688e-05,3.642329571696001e-28,4.4848851950834224e-10,1.157204262668863e-07,0.00026004991182820646,0.3140480519392871,5.237268886083132e-35,0.0
Birmingham Yardley,West Midlands,West Midlands,5,2,6,False,9.988570202541754e-13,99.9999643136668,1.0913478883501075e-23,1.9470602894142366e-69,3.568633205750721e-05,1.9821057415042273e-81,2.40063139131743e-32,8.469300610711901e-54,1.8791343738214203e-15,8.92579179672633e-17,5.415387808489176e-96,0.0
Bishop Auckland,County Durham,North East,9,6,9,False,4.6102004353439873e-07,8.743059801053101e-05,0.027907524604689298,3.513079913226512e-05,4.782604690522475e-05,99.50240065936387,7.853221638516101e-13,0.46407422477343824,1.4129019068138756e-06,0.005445329891078392,1.4606297666588772e-13,0.0
Blackburn,Lancashire,North West,5,2,6,False,9.455004593349935e-12,99.99991290496402,3.1794856483541683e-13,3.134463601550102e-52,8.70950227214908e-05,2.065491147837127e-70,3.564991983370145e-20,2.209248164013828e-38,3.3269053721743944e-12,1.0724324400489589e-14,2.739340375785367e-74,0.0
Blackley and Middleton South,Greater Manchester,North West,10,9,8,False,0.0003921711325882691,0.006435441821105753,0.0005143151305541624,8.327304328201919e-13,0.0035985004398922465,5.35352855638559e-35,3.836513984774785e-11,0.0002607401052008536,99.98876076176937,3.8069562127466344e-05,2.1409735189516466e-39,0.0
Blackpool North and Fleetwood,Lancashire,North West,9,4,1,False,5.921093273748624e-07,7.291585837654382e-05,0.0014220552413607807,88.5836712374519,4.451399988268527e-06,10.605269328063754,2.9859132372343203e-12,0.7829136833201247,3.407604061688813e-07,0.026645395791688682,5.229883247166967e-14,0.0
Blackpool South,Lancashire,North West,9,4,9,False,2.071304771752446e-05,3.117767371850177e-05,0.00293938748158621,95.68273158746247,0.0001073595510542104,2.5004053980807546e-10,1.6689556294740968e-12,4.313992929090057,1.0487556403606314e-05,0.00016635788513671892,2.2662527431925107e-31,0.0
Blaydon and Consett,County Durham; Tyne and Wear,North East,8,8,9,False,4.529539750313659e-11,1.1923691967717748e-06,0.0008560700934821446,1.2211463545189815e-09,1.2312714696340695e-07,2.743551328008056e-08,4.4382425263659255e-11,99.99889990457646,6.295559656563159e-10,0.00024268045785689018,1.3292507929355934e-23,0.0
Blyth and Ashington,Northumberland,North East,8,8,9,False,4.594696097256253e-09,2.8527117487536387e-06,0.0003827962411107927,2.537297878439761e-06,7.831417886596713e-08,3.780286817217532e-12,1.0910014939194173e-11,99.99959467332668,5.4392956372992105e-08,1.700310599606839e-05,2.370342355315095e-31,0.0
Bognor Regis and Littlehampton,West Sussex,South East,9,4,1,False,9.308491577784166e-09,2.066466631486816e-07,6.606296004977773e-06,86.5454761817079,5.1856070473219044e-08,13.433386993659898,1.830487567393802e-11,2.9714287900187767e-06,1.2899468104828172e-09,0.02112697683331812,9.54582262871537e-10,0.0
Bolsover,Derbyshire,East Midlands,8,8,9,False,7.559892363248108e-07,9.501447109252531e-05,0.009554926080777895,4.7843275043177194e-05,1.207679736843499e-05,2.485252630443941e-05,2.4863507685080487e-11,99.98909968513068,3.443265006314853e-06,0.0011614024394550324,9.275562572814196e-21,0.0
Bolton North East,Greater Manchester,North West,10,10,8,False,1.3786384074726024e-05,0.9684688085277948,0.02862080154816563,0.0006601351786336971,0.00017837330878656352,6.276923047862554e-11,4.267580577662569e-07,0.0551235271045645,0.009373982534105218,98.93756015859319,2.1893060568420547e-16,0.0
