Seat,County,Region,Superwealthy,LGBT,White,WhiteBritish,WhiteOther,Asian,Indian,Pakistani,Bangladeshi,Chinese,Black,Arab,Mixed,OtherEthnicity,Christian,NoReligion,Muslim,Hindu,Jewish,Sikh,Buddhist,Veterans,Age0to17,Age18to24,Age65plus,NoQualifications,Degrees,PublicSector,ManagerialProfessional,Intermediate,Routine,SocialRent,PrivateRent,OwnerOccupation,y2019_Turnout,y2024_Turnout,y2019_CON_share,y2024_CON_share,swing_CON,y2019_GRN_share,y2024_GRN_share,swing_GRN,y2019_LAB_share,y2024_LAB_share,swing_LAB,y2019_LD_share,y2024_LD_share,swing_LD,y2019_OTHER_share,y2024_OTHER_share,swing_OTHER,y2019_REF_share,y2024_REF_share,swing_REF,y2019_SNP_share,y2024_SNP_share,swing_SNP
Edinburgh East and Musselburgh,City of Edinburgh; East Lothian,Scotland,1.0,9.6210556,84.05994249999999,68.96830630000001,15.09163619999999,9.108092800000001,1.686228,1.7504065999999998,0.4026551,3.9192932,2.0528157,0.8457515000000001,2.650666,2.1284452,28.5014726,57.840784199999995,3.7795068,1.063783,0.2655062,0.4255132,0.6584905,4.136998140041708,13.729598496753201,18.83866615265996,16.23265227447951,11.23726229639734,43.70235898258846,35.0,33.005,16.8952,23.6146,20.2359705,24.9422286,53.2004434,69.0008979505599,59.800293916968464,14.07383308135418,5.70049369171695,-8.37333938963723,3.595965781868984,10.244651673066373,6.64868589119739,26.392743000401893,41.22874382885354,14.836000828451645,6.969934740589057,4.276467361492045,-2.6934673790970116,0.0,0.8008776741634668,0.8008776741634668,0.0,4.671420735052112,4.671420735052112,48.96752339578589,33.07734503565551,-15.890178360130378
Edinburgh North and Leith,City of Edinburgh,Scotland,1.0,9.7293909,84.9236172,67.5506255,17.37299170000001,7.386916,2.1304044,1.1456034,0.5868833,2.1721948,2.5737107,0.7976525,3.0225396,2.0931564,27.740077600000003,58.696935800000006,3.3076244999999997,1.4071712,0.26889779999999996,0.3379391,0.6213719000000001,3.750749797113722,14.740826125234799,11.239567365014471,15.215678760006778,9.101642495925105,55.879341329878386,13.0,45.1306,16.7456,22.0397,18.0028229,29.2801694,51.1256175,76.70002867047202,63.17355329689974,17.605980800271855,6.577059120768065,-11.028921679503789,3.2622546937388495,10.948964123294594,7.686709429555744,21.73137371506244,42.05154118241536,20.320167467352924,12.512106023277546,7.840323395654371,-4.671782627623175,0.2344745561124798,1.546235472460839,1.311760916348359,0.8631382210517372,3.674583122789288,2.8114449017375507,43.790671990485095,27.361293582617485,-16.42937840786761
Edinburgh South,City of Edinburgh,Scotland,1.0,7.3732229,84.33460790000001,71.20128960000001,13.1333183,9.3826345,1.8573031,1.7531739000000002,0.3764668,3.9549041,1.5549089999999999,0.8350354000000001,2.7163683,2.0114942,30.896694000000004,55.866156700000005,3.5373155000000005,0.9882056,0.34141649999999996,0.1832235,0.5236388,4.667414574860937,17.3856014309137,17.23258639146485,22.15085579571555,8.466884129910651,53.3115870089349,28.999999999999996,43.194300000000005,15.591,17.6297,11.4266349,20.1023699,66.9190857,74.70030568116186,66.10013974958005,16.824756265439664,8.544398411139111,-8.280357854300552,2.9078428784250128,9.118865587494126,6.211022709069113,46.216221312866544,53.337889206850896,7.121667893984352,8.19174413999887,5.864263443386153,-2.3274806966127164,0.0,2.6972194934438134,2.6972194934438134,0.0,3.9401187374535516,3.9401187374535516,25.85943540326991,16.49724512023235,-9.36219028303756
Edinburgh South West,City of Edinburgh,Scotland,1.0,6.858968699999999,83.64759389999999,71.7135383,11.93405559999999,9.289918799999999,3.4681865,1.3295338,0.5979632,2.7412875,2.8972919999999998,0.9062880000000001,2.2031206,1.9620668,30.245442900000004,55.496071199999996,3.7914248999999995,2.6011156,0.15602960000000002,0.1522923,0.5176069999999999,4.769944265896424,15.9989781674528,16.85547023492733,18.62801533599059,10.15133443487586,46.75938590828017,11.0,38.1192,17.014499999999998,22.9497,18.1278223,24.5860624,55.622228500000006,71.10065466448445,61.90050155889928,24.645604342905372,12.171513665031535,-12.474090677873837,2.426579194720991,7.555185704274702,5.128606509553711,14.344631792983062,40.870269796776455,26.525638003793393,9.53559302526328,6.6003854239663635,-2.9352076012969164,0.21867986418829488,0.9766993693062368,0.7580195051179419,1.1989027641902132,4.570339873861248,3.3714371096710347,47.63000901574878,27.255606166783465,-20.374402848965318
Edinburgh West,City of Edinburgh,Scotland,1.0,3.4428601000000003,89.1948016999999,81.5989525,7.595849199999904,6.685477099999999,2.691648,1.1174602,0.5775067,1.447319,1.1763313,0.5186396,1.6716229999999999,1.2717327,34.3794405,53.437741100000004,2.688685,2.0045877,0.1766067,0.2222809,0.3491535,5.991547759701899,19.8264092061634,8.331103272108,26.092932733244012,9.958449781119382,48.284816857517384,38.0,47.4347,20.1627,21.3412,9.354904699999999,12.41337,77.03197080000001,71.70091606833374,68.60030331555276,18.032131433556266,5.521145013435993,-12.510986420120272,1.9609624890956672,4.002210744982944,2.041248255887276,8.69984006978773,14.968268186236205,6.268428116448476,38.23240767665019,50.78043109527167,12.548023418621483,0.0,1.1263364525166282,1.1263364525166282,0.09086943879034602,4.209944540793963,4.119075102003617,32.983788892119804,19.391663966762593,-13.592124925357211
Falkirk,Falkirk,Scotland,0.0,3.1575541,96.1481347,92.1835253,3.9646093999999974,2.2925386,0.39707980000000004,1.3039522,0.0145,0.2347321,0.49843919999999997,0.0879,0.7765806,0.2843718,38.290435699999996,53.7025739,1.5015046,0.16442099999999998,0.0238,0.1065117,0.1851028,6.791802684076894,18.8976700800557,9.01151401018692,24.490337584206408,17.16842354171075,25.99594280096079,31.0,31.014999999999997,20.450599999999998,35.8031,25.546336600000004,8.6099021,64.3339681,64.9004769644808,57.90024178869299,25.931476197318993,8.389442815249266,-17.542033382069725,3.1018413975735433,4.014076246334311,0.9122348487607681,12.07069981319155,43.033431085043986,30.962731271852434,6.782583704555252,2.5618768328445745,-4.220706871710678,0.0,2.770674486803519,2.770674486803519,0.36129985835403283,7.9178885630498534,7.5565887046958204,51.75209902900663,31.312609970674487,-20.439489058332143
Glasgow East,Glasgow City,Scotland,0.0,7.2398353,80.1849658,70.98062030000001,9.204345499999988,11.463307,2.3361955,5.9493239,0.1845685,1.6561008,4.4227178,1.3250813,1.4193717,2.50973,42.473970300000005,38.293177099999994,9.1138885,1.6981965,0.12036830000000001,0.3480651,0.3520774,3.262329290717134,18.4730538922155,12.14504874841551,16.92037956238966,22.29233016450755,30.570388640118768,11.0,27.095599999999997,17.2636,31.915100000000002,37.343249699999994,16.5396137,44.0656957,59.000071628106866,51.40010731014081,12.31273521913318,4.815911976301312,-7.4968232428318675,1.3742867548864879,7.69360981802793,6.319323063141442,33.45635546922423,43.85103681760474,10.394681348380509,4.101007648415686,2.460149527436874,-1.6408581209788116,0.0,1.3147129355339258,1.3147129355339258,0.060701711788272425,6.689236845817463,6.628535134029191,48.69491319655214,33.175342079277755,-15.519571117274388
Glasgow North,Glasgow City,Scotland,1.0,10.374309199999999,75.8159786,65.33797720000001,10.47800139999999,13.803217,3.8430869,2.9888639,0.1649787,5.156500599999999,4.3911603,1.9394162,2.4380184,3.5516246000000002,32.4255452,48.7125663,6.8226192,2.4456198,0.24566200000000002,0.5784056,0.7965681,2.9347058229892022,13.4712105815949,26.21949414307277,12.788528909634511,15.60935935935936,41.724015682349005,19.0,27.7321,12.151399999999999,22.8398,34.6245458,24.5518773,38.6717804,56.700017744775536,51.40045868166013,8.806182142083344,3.9321799706381872,-4.874002171445157,3.738655239654301,12.185152134488614,8.446496894834313,34.11733551602109,42.18601571720544,8.06868020118435,5.190303088663666,3.2873715420708716,-1.9029315465927943,0.0,1.64656438009154,1.64656438009154,0.5922145453670046,4.76409798785227,4.1718834424852655,47.5553094682106,31.998618267653068,-15.556691200557534
Glasgow North East,Glasgow City,Scotland,0.0,5.7839814,83.3432868,76.6130237,6.7302631,6.8068106,1.7539765999999999,1.3227168,0.17735789999999999,2.4606079,5.9834529,1.5112762,1.2079008,2.6585019,45.2943263,40.0771055,5.0594627,1.0529657,0.0961,0.36872469999999996,0.42379999999999995,3.79353605352769,18.073859907409002,14.248443843031081,16.70040595399176,27.10883671148572,24.094142306062842,36.0,20.8,15.5214,36.9211,46.4424398,12.567457300000001,38.9768405,56.700017273222514,47.00002757327598,10.981182480725517,3.4671907541579885,-7.513991726567529,0.15232113983080636,7.248247338007098,7.095926198176292,37.72408783071263,45.87427766859288,8.150189837880255,3.3955897171513603,1.7365287025901264,-1.659061014561234,0.0,2.736792701886128,2.736792701886128,0.0,6.664515561291837,6.664515561291837,47.74681883157969,32.27244727347394,-15.474371558105751
Glasgow South,Glasgow City,Scotland,0.0,6.6941231000000005,84.6960698999999,77.3344123,7.361657599999905,9.667895,1.2717749,6.590702800000001,0.1530941,0.6615854,2.3160625999999898,0.6244054,1.7124673,1.6074885,38.1794919,44.9178213,7.6656424,0.5631676999999999,0.220893,0.5697289,0.3346201,3.286012985583801,16.8664812387437,8.156646583771295,19.11037046532483,16.718737896666582,40.875054868444835,21.0,37.9409,17.8691,27.479,24.8459236,16.5654164,57.120531799999995,68.00011205423425,60.40021664148685,12.690533080662437,3.8156590683845395,-8.874874012277898,2.6077284337150863,13.105856812497048,10.498128378781962,29.451264727692184,41.75751569210439,12.306250964412207,6.018785531844772,3.1053848695077635,-2.9134006623370086,0.0,2.1638586058804097,2.1638586058804097,0.931037323885639,4.096465147010242,3.1654278231246025,48.300650902199884,31.955259804615604,-16.34539109758428
