Seat,County,Region,Superwealthy,Rural,LGBT,White,WhiteBritish,WhiteOther,Asian,Indian,Pakistani,Bangladeshi,Chinese,Black,Arab,Mixed,OtherEthnicity,Christian,NoReligion,Muslim,Hindu,Jewish,Sikh,Buddhist,Veterans,Age0to17,Age18to24,Age65plus,NoQualifications,Degrees,PublicSector,ManagerialProfessional,Intermediate,Routine,SocialRent,PrivateRent,OwnerOccupation,y2019_Turnout,y2024_Turnout,y2019_CON_share,y2024_CON_share,swing_CON,y2019_GRN_share,y2024_GRN_share,swing_GRN,y2019_LAB_share,y2024_LAB_share,swing_LAB,y2019_LD_share,y2024_LD_share,swing_LD,y2019_OTHER_share,y2024_OTHER_share,swing_OTHER,y2019_REF_share,y2024_REF_share,swing_REF
Beckenham and Penge,London (Bromley),London,1.0,0.0,3.7856411999999997,72.7902648,60.2786774,12.511587399999998,6.965067299999999,2.7858403,0.6010322,0.6131648,1.2711271,10.5647277,0.42557560000000005,6.940802,2.7391763,46.3947737,38.6215586,4.1577228,2.0559963,0.42463839999999997,0.25011669999999997,0.6234251,3.8750835147309197,20.8405855517487,7.118224320696193,20.42077489237592,12.12232654890649,48.63066438348293,12.0,48.0084,18.6568,16.9145,14.504030700000001,22.817605699999998,61.6351252,78.50001305244473,67.71963949944887,39.05257557114828,24.60265788365057,-14.449917687497713,4.017159389444981,7.334073762016008,3.316914372571027,40.10175916996442,49.31446516793688,9.212705997972463,16.05699843703236,8.494504231932902,-7.562494205099457,0.0,0.0,0.0,0.771507432409963,10.254298954463636,9.482791522053672
Bedford,Bedfordshire,Eastern,0.0,0.0,2.9558711,69.2987641,54.190955100000004,15.107808999999989,16.8011058,6.716804699999999,4.2214199,3.6166710999999996,0.46197360000000004,6.6422342,0.4074098,4.8525413,2.4053546,46.5853082,30.7713293,10.1722351,1.9251405,0.10094030000000001,2.5917102,0.3419239,5.15707565048716,22.2823465441183,9.844723300532634,20.693779904306233,19.75855676628838,32.01835692001628,24.0,29.433999999999997,17.0025,33.407199999999996,19.7988897,24.579162099999998,54.3622215,66.50066353686553,55.911716171617165,41.95008905006116,21.918886347426152,-20.031202702635007,1.9827049760745015,5.887995277798273,3.905290301723772,44.33834731669635,45.111783368995795,0.773436052299445,10.025105679891851,9.899407265304115,-0.12569841458773645,0.0,5.996212400698493,5.996212400698493,1.703752977276141,11.18571533977717,9.48196236250103
Bermondsey and Old Southwark,London (Southwark),London,2.0,0.0,8.6754572,55.9887353,34.345225299999996,21.64351,13.172948700000001,3.1205965,0.7250908,2.1808714,3.9819334,18.1869931999999,1.340998,6.722720499999999,5.9285735,41.181411000000004,36.8187757,9.741508,1.8365062,0.44886149999999997,0.25755880000000003,1.0778275,1.94774049590223,14.902138046377,16.6045192338336,8.741009869224797,12.555211894297031,56.935265071354934,13.0,45.224399999999996,12.800600000000001,18.4003,37.217692299999996,36.0769921,23.7294851,65.00028331822303,54.10036543607746,16.802876757110166,7.656304018296413,-9.146572738813752,0.05448403617740002,11.905964949605083,11.851480913427684,49.63713631905852,44.828870036965135,-4.808266282093385,31.079873597036066,24.120415924261362,-6.959457672774704,0.0,2.4545913889849214,2.4545913889849214,2.4256292906178487,9.033853681887082,6.608224391269234
Bethnal Green and Stepney,London (Tower Hamlets),London,3.5,0.0,7.632936399999999,35.727663,20.829783199999998,14.8978798,49.4233015,2.2089684,1.0547824000000001,41.7921045,2.4069867,6.5369686,1.1313073999999999,4.4818392,3.83019339999999,18.3231039,24.971204999999998,46.6155982,1.2638256,0.4906988,0.2666498,0.8677953,1.50142993326978,19.0903015000742,19.46252053637802,7.8189678118087445,18.14664701547531,46.19516735833689,28.999999999999996,34.6701,11.9513,19.3771,40.7920964,36.28564,20.144726600000002,64.9000857521503,57.30026533018868,10.139937138395627,4.116020322850344,-6.023916815545284,4.206121999559569,13.70077389757112,9.49465189801155,73.51204180096495,34.07721825626514,-39.43482354469981,9.277091549718724,10.240744313675048,0.9636527639563237,0.8788612840583773,33.65489742105602,32.77603613699765,1.9859462273027568,4.210345788582331,2.2243995612795744
Beverley and Holderness,East Riding of Yorkshire,Yorkshire and the Humber,0.0,51.8,1.965149,97.7899649,96.07597770000001,1.7139872,0.8860882999999999,0.203352,0.08940000000000001,0.0168,0.1698324,0.2458419,0.0682,0.8167597000000001,0.2614961,52.7529496,39.8205667,0.39998209999999995,0.1988738,0.08270000000000001,0.048,0.27596529999999997,11.9189243227031,17.1069100249235,7.025721150689962,33.77230413717939,17.08309734862953,31.66629348155368,28.000000000000004,34.5771,20.006,29.890800000000002,9.6098573,15.765664500000002,74.0621329,69.60025880499606,62.400277970813065,60.98862235515228,34.52569213978662,-26.46293021536566,2.493785744599155,3.6683965521081587,1.1746108075090036,24.66099468504335,34.24950442123082,9.588509736187468,9.253683083079038,7.541706572822237,-1.7119765102568003,2.602914132126185,1.7551284050159253,-0.8477857271102596,0.0,18.259571909036236,18.259571909036236
Bexhill and Battle,East Sussex,South East,0.5,44.1,2.4990129999999997,95.6267489,91.894197,3.732551900000003,1.4869765,0.4601107,0.0337,0.13578880000000002,0.24801089999999998,0.5723772,0.14476650000000002,1.8000426999999999,0.5139772,50.9376157,40.579515,0.5768215999999999,0.24352200000000002,0.157111,0.018000000000000002,0.3187108,9.50803337900112,16.9487668501582,6.595514267447773,38.78371149354796,18.48532701671272,29.756546914067638,11.0,34.1014,24.9669,25.045099999999998,9.1667705,16.228671,73.725246,70.20042342978122,66.19991681685845,61.7568409835736,33.89738219895288,-27.85945878462072,4.0834791000663495,6.224083769633508,2.140604669567159,20.77326738645274,28.332984293193718,7.559716906740977,13.386412529907313,7.273298429319372,-6.113114100587941,0.0,7.667015706806282,7.667015706806282,0.0,16.60523560209424,16.60523560209424
Bexleyheath and Crayford,London (Bexley),London,0.5,0.0,1.8697432999999999,73.1808921,66.2744144,6.906477699999991,10.0566587,4.9117686,0.5848309,0.7520702,1.4027833,10.9729275,0.19967359999999998,3.3275559999999897,2.4619657,49.923476900000004,33.844501,3.7055431,3.1328867000000002,0.0568,2.5886097,0.7611769,5.2480362697032,23.1072311495673,9.518486888375346,21.772329950768558,18.64000102102026,30.511914030094573,17.0,33.3695,20.462600000000002,26.684400000000004,14.3101903,13.403447800000002,71.0633138,67.60040017150207,61.80021329541415,60.782241014799155,31.299325832355446,-29.48291518244371,2.2621564482029597,4.776696348450335,2.514539900247375,28.98942917547569,36.16345689238628,7.17402771691059,5.987315010570825,5.071213271668853,-0.9161017389019719,1.0993657505285412,0.0,-1.0993657505285412,0.879492600422833,22.68930765513909,21.809815054716257
Bicester and Woodstock,Oxfordshire,South East,1.0,43.3,2.7453597,89.3774777,80.2437891,9.133688600000001,4.8777594,1.6133974999999998,0.5486738,0.1977203,1.1665497,1.545184,0.24616180000000001,2.9499866,1.2495922,50.7745386,39.0501893,1.6340935,0.8857518999999999,0.1324674,0.2797631,0.562492,8.353683599700181,20.9159947496718,7.609868288461294,23.95348010100637,14.11396474541727,38.91227601936212,13.0,40.4578,18.5666,27.5449,11.3058826,18.6343963,67.9827849,73.90018904666468,67.60041998707732,53.9131772806832,28.79587407156654,-25.11730320911666,2.3561770306399183,4.787032796351978,2.4308557657120597,16.85291685099344,16.40016726736892,-0.4527495836245201,26.591140774364796,38.668631394492124,12.077490620127328,0.0,0.5794619566299608,0.5794619566299608,0.28658806331865133,10.768832513590473,10.482244450271821
Birkenhead,Merseyside,North West,0.0,0.2,3.450504,93.5396418,89.9591427,3.5804990999999897,3.3197774,0.7991355,0.18106150000000001,0.8835044000000001,0.7706965,0.6113976999999999,0.3403198,1.6636806,0.865493,52.89829660000001,38.5343103,1.8304531999999998,0.45311060000000003,0.0673,0.15925229999999999,0.4019224,7.95369211514393,21.4533596873946,9.758331980425346,23.51972539833463,20.567917479264082,27.95883361921098,25.0,27.5594,16.3804,34.4592,22.5144979,22.9942843,53.546247199999996,67.90061916255641,55.4001464185258,15.577064255631544,7.506839152408773,-8.070225103222771,2.9983385495150885,20.100153011545416,17.101814462030326,59.997681696997795,52.08883943061158,-7.908842266386216,3.983617325451103,5.313673668104048,1.330056342652945,14.074031142536997,0.7511475865906245,-13.322883555946373,3.3692670298674705,14.239347150739556,10.870080120872085
Birmingham Edgbaston,West Midlands,West Midlands,1.0,0.0,4.208125,54.2263107,46.7464742,7.479836500000003,23.022964,9.127409,7.5620247,1.0051318,2.0517980000000002,11.4081075,1.8939674,5.8461935,5.496381899999999,38.7408508,28.594371600000002,16.244704300000002,3.3190885000000003,0.38396569999999997,5.0543182,0.5270299,4.23166202414113,22.5202240764111,16.19578846221442,19.1628484713547,18.999472682669598,39.23928743379875,26.0,31.683699999999998,13.336200000000002,23.6399,24.1288855,24.695313,49.6436614,63.900839417592735,52.100559592416275,35.45472488431764,21.99155712300951,-13.463167761308132,2.5702318033290203,7.473014855188628,4.902783051859608,52.32132283602711,44.34915036870792,-7.97217246731919,7.250158994714797,5.616116276584375,-1.6340427181304218,0.0,8.913113177300417,8.913113177300417,2.403561481611439,11.657048199209148,9.25348671759771
