Nation,Party,Target,Feature,Pearson_r
england,GRN,swing,PublicSector,0.155
england,GRN,swing,ManagerialProfessional,-0.06
england,GRN,swing,Intermediate,-0.416
england,GRN,swing,Routine,-0.179
england,GRN,swing,SocialRent,0.412
england,GRN,swing,PrivateRent,0.489
england,GRN,swing,OwnerOccupation,-0.537
england,LAB,swing,Superwealthy,-0.002
england,LAB,swing,Rural,0.302
england,LAB,swing,LGBT,-0.323
england,LAB,swing,White,0.659
england,LAB,swing,WhiteBritish,0.608
england,LAB,swing,WhiteOther,-0.254
england,LAB,swing,Asian,-0.678
england,LAB,swing,Indian,-0.372
england,LAB,swing,Pakistani,-0.627
england,LAB,swing,Bangladeshi,-0.477
england,LAB,swing,Chinese,-0.299
england,LAB,swing,Black,-0.423
england,LAB,swing,Arab,-0.401
england,LAB,swing,Mixed,-0.377
england,LAB,swing,OtherEthnicity,-0.456
england,LAB,swing,Christian,0.541
england,LAB,swing,NoReligion,0.508
england,LAB,swing,Muslim,-0.774
england,LAB,swing,Hindu,-0.249
england,LAB,swing,Jewish,-0.004
england,LAB,swing,Sikh,-0.19
england,LAB,swing,Buddhist,-0.107
england,LAB,swing,Veterans,0.465
england,LAB,swing,Age0to17,-0.233
england,LAB,swing,Age18to24,-0.479
england,LAB,swing,Age65plus,0.509
england,LAB,swing,NoQualifications,-0.229
england,LAB,swing,Degrees,-0.119
england,LAB,swing,PublicSector,-0.223
england,LAB,swing,ManagerialProfessional,0.274
england,LAB,swing,Intermediate,0.433
england,LAB,swing,Routine,0.111
england,LAB,swing,SocialRent,-0.44
england,LAB,swing,PrivateRent,-0.492
england,LAB,swing,OwnerOccupation,0.554
england,LD,swing,Superwealthy,-0.18
england,LD,swing,Rural,0.237
england,LD,swing,LGBT,-0.177
england,LD,swing,White,0.212
england,LD,swing,WhiteBritish,0.238
england,LD,swing,WhiteOther,-0.252
england,LD,swing,Asian,-0.133
england,LD,swing,Indian,-0.093
england,LD,swing,Pakistani,-0.048
england,LD,swing,Bangladeshi,-0.063
england,LD,swing,Chinese,-0.207
england,LD,swing,Black,-0.215
england,LD,swing,Arab,-0.202
england,LD,swing,Mixed,-0.261
england,LD,swing,OtherEthnicity,-0.271
england,LD,swing,Christian,0.153
england,LD,swing,NoReligion,0.11
england,LD,swing,Muslim,-0.135
england,LD,swing,Hindu,-0.086
england,LD,swing,Jewish,-0.187
england,LD,swing,Sikh,-0.069
england,LD,swing,Buddhist,-0.165
england,LD,swing,Veterans,0.274
england,LD,swing,Age0to17,-0.039
england,LD,swing,Age18to24,-0.137
england,LD,swing,Age65plus,0.287
england,LD,swing,NoQualifications,-0.087
england,LD,swing,Degrees,-0.071
england,LD,swing,PublicSector,-0.082
england,LD,swing,ManagerialProfessional,0.042
england,LD,swing,Intermediate,0.269
england,LD,swing,Routine,0.015
england,LD,swing,SocialRent,-0.203
england,LD,swing,PrivateRent,-0.204
england,LD,swing,OwnerOccupation,0.241
england,OTHER,swing,Superwealthy,0.004
england,OTHER,swing,Rural,-0.244
england,OTHER,swing,LGBT,0.132
england,OTHER,swing,White,-0.572
england,OTHER,swing,WhiteBritish,-0.528
england,OTHER,swing,WhiteOther,0.223
england,OTHER,swing,Asian,0.627
england,OTHER,swing,Indian,0.321
england,OTHER,swing,Pakistani,0.567
england,OTHER,swing,Bangladeshi,0.514
england,OTHER,swing,Chinese,0.175
england,OTHER,swing,Black,0.311
england,OTHER,swing,Arab,0.313
england,OTHER,swing,Mixed,0.281
england,OTHER,swing,OtherEthnicity,0.379
england,OTHER,swing,Christian,-0.438
england,OTHER,swing,NoReligion,-0.507
england,OTHER,swing,Muslim,0.686
england,OTHER,swing,Hindu,0.25
england,OTHER,swing,Jewish,0.032
england,OTHER,swing,Sikh,0.238
england,OTHER,swing,Buddhist,0.064
england,OTHER,swing,Veterans,-0.381
england,OTHER,swing,Age0to17,0.315
england,OTHER,swing,Age18to24,0.309
